stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.43153.15202304030528350,T_1,1,1,363,363
27.47153.0220230403064639184,T_1,1,2,445,445
27.47153.02202304030729440,T_2,1,1,493,493
27.48153.042023040308035059,T_2,1,2,533,533
27.48153.04202304030807300,T_3,1,1,517,517
27.5153.042023040308133523,T_3,1,2,528,528
27.49153.04202304030848430,T_4,1,1,571,571
27.44153.1320230403091805112,T_4,1,2,563,563
27.44153.13202304030929330,T_5,1,1,602,602
27.44153.172023040309400242,T_5,1,2,582,582
27.44153.17202304031018070,T_6,1,1,625,625
27.43153.152023040310264733,T_6,1,2,673,673
27.43153.15202304031051300,T_7,1,1,681,681
27.48153.0420230403112257140,T_7,1,2,739,739
27.48153.04202304031156470,T_8,1,1,763,763
27.46153.032023040312070528,T_8,1,2,732,732
27.46153.03202304031231430,T_9,1,1,794,794
27.47153.032023040312451134,T_9,1,2,776,776
27.47153.03202304031245110,T_10,1,1,776,776
27.43153.1520230403134153152,T_10,1,2,874,874
27.43153.15202304040530450,T_11,1,1,375,375
27.47153.0220230404061019166,T_11,1,2,389,389
27.47153.02202304040644440,T_12,1,1,448,448
27.48153.022023040406572228,T_12,1,2,439,439
27.48153.02202304040718490,T_13,1,1,487,487
27.46153.032023040407325839,T_13,1,2,510,510
27.46153.03202304040740400,T_14,1,1,500,500
27.46153.1120230404081239116,T_14,1,2,531,531
27.46153.11202304040818570,T_15,1,1,555,555
27.43153.1520230404084848111,T_15,1,2,576,576
27.43153.15202304040954020,T_16,1,1,596,596
27.59153.0320230404103503205,T_16,1,2,638,638
27.59153.03202304041047080,T_17,1,1,655,655
27.59153.032023040411323970,T_17,1,2,731,731
27.59153.03202304041135290,T_18,1,1,724,724
27.43153.1520230404120721189,T_18,1,2,748,748
27.43153.15202304041222050,T_19,1,1,747,747
27.48153.0420230404125324134,T_19,1,2,797,797
27.48153.04202304041316290,T_20,1,1,825,825
27.5153.042023040413225224,T_20,1,2,854,854
27.5153.04202304041338480,T_21,1,1,866,866
27.47153.032023040413530939,T_21,1,2,842,842
27.47153.03202304041353090,T_22,1,1,842,842
27.43153.1520230404143801140,T_22,1,2,879,879
27.43153.15202304050643160,T_23,1,1,419,419
27.47153.0220230405073546158,T_23,1,2,501,501
27.47153.02202304050820300,T_24,1,1,530,530
27.48153.022023040508315527,T_24,1,2,566,566
27.48153.02202304050844450,T_25,1,1,569,569
27.48153.042023040508552220,T_25,1,2,557,557
27.48153.04202304050906590,T_26,1,1,605,605
27.43153.1520230405093422118,T_26,1,2,596,596
27.43153.15202304051012590,T_27,1,1,671,671
27.5153.0420230405105444168,T_27,1,2,698,698
27.49153.04202304051159190,T_28,1,1,738,738
27.47153.032023040512125437,T_28,1,2,786,786
27.47153.03202304051212540,T_29,1,1,786,786
27.44153.1320230405130107124,T_29,1,2,788,788
27.44153.13202304051306220,T_30,1,1,808,808
27.43153.152023040513261857,T_30,1,2,824,824
27.43153.15202304060551410,T_31,1,1,392,392
27.47153.0220230406062219131,T_31,1,2,401,401
27.47153.02202304060722030,T_32,1,1,445,445
27.43153.1520230406075959143,T_32,1,2,538,538
27.43153.15202304060859340,T_33,1,1,573,573
27.48153.0220230406093402162,T_33,1,2,576,576
27.48153.02202304060959090,T_34,1,1,608,608
27.49153.032023040610105128,T_34,1,2,661,661
27.49153.03202304061019200,T_35,1,1,639,639
27.47153.032023040610313239,T_35,1,2,663,663
27.47153.03202304061031320,T_36,1,1,663,663
27.46153.032023040610575727,T_36,1,2,714,714
27.46153.03202304061108370,T_37,1,1,705,705
27.43153.1520230406113624115,T_37,1,2,720,720
27.43153.15202304061237440,T_38,1,1,801,801
27.48153.0420230406130931135,T_38,1,2,820,820
27.49153.04202304061348200,T_39,1,1,848,848
27.43153.1520230406141625131,T_39,1,2,881,881
27.43153.15202304061432330,T_40,1,1,905,905
27.26153.0820230406151659201,T_40,1,2,975,975
27.26153.08202304061522000,T_41,1,1,922,922
27.5153.0420230406155748171,T_41,1,2,1005,1005
27.5153.04202304061618030,T_42,1,1,981,981
27.43153.1520230406165636138,T_42,1,2,1052,1052
27.43153.15202304061851530,T_43,1,1,1184,1184
27.44153.172023040619005942,T_43,1,2,1199,1199
27.44153.17202304061915330,T_44,1,1,1188,1188
27.43153.152023040619230036,T_44,1,2,1163,1163
27.43153.15202304080529230,T_45,1,1,352,352
27.47153.0220230408060204159,T_45,1,2,366,366
27.47153.03202304080635530,T_46,1,1,448,448
27.48153.022023040806495043,T_46,1,2,459,459
