"agency_id","route_id","route_short_name","route_long_name","route_type"
"MGL","R_1","RSn 1","Long Name 1","3"
"MGL","R_2","RSn 2","Long Name 2","3"
"MGL","R_3","RSn 3","Long Name 3","3"
"MGL","R_4","RSn 4","Long Name 4","3"
"MGL","R_5","RSn 5","Long Name 5","3"
"MGL","R_6","RSn 6","Long Name 6","3"
"MGL","R_7","RSn 7","Long Name 7","3"
"MGL","R_8","RSn 8","Long Name 8","3"
"MGL","R_9","RSn 9","Long Name 9","3"
"MGL","R_10","RSn 10","Long Name 10","3"
"MGL","R_11","RSn 11","Long Name 11","3"
"MGL","R_12","RSn 12","Long Name 12","3"
"MGL","R_13","RSn 13","Long Name 13","3"
"MGL","R_14","RSn 14","Long Name 14","3"
"MGL","R_15","RSn 15","Long Name 15","3"
"MGL","R_16","RSn 16","Long Name 16","3"
"MGL","R_17","RSn 17","Long Name 17","3"
"MGL","R_18","RSn 18","Long Name 18","3"
"MGL","R_19","RSn 19","Long Name 19","3"
"MGL","R_20","RSn 20","Long Name 20","3"
"MGL","R_21","RSn 21","Long Name 21","3"
"MGL","R_22","RSn 22","Long Name 22","3"
"MGL","R_23","RSn 23","Long Name 23","3"
"MGL","R_24","RSn 24","Long Name 24","3"
"MGL","R_25","RSn 25","Long Name 25","3"
"MGL","R_26","RSn 26","Long Name 26","3"
"MGL","R_27","RSn 27","Long Name 27","3"
"MGL","R_28","RSn 28","Long Name 28","3"
"MGL","R_29","RSn 29","Long Name 29","3"
"MGL","R_30","RSn 30","Long Name 30","3"
"MGL","R_31","RSn 31","Long Name 31","3"
"MGL","R_32","RSn 32","Long Name 32","3"
"MGL","R_33","RSn 33","Long Name 33","3"
"MGL","R_34","RSn 34","Long Name 34","3"
"MGL","R_35","RSn 35","Long Name 35","3"
"MGL","R_36","RSn 36","Long Name 36","3"
"MGL","R_37","RSn 37","Long Name 37","3"
"MGL","R_38","RSn 38","Long Name 38","3"
"MGL","R_39","RSn 39","Long Name 39","3"
"MGL","R_40","RSn 40","Long Name 40","3"
"MGL","R_41","RSn 41","Long Name 41","3"
"MGL","R_42","RSn 42","Long Name 42","3"
"MGL","R_43","RSn 43","Long Name 43","3"
"MGL","R_44","RSn 44","Long Name 44","3"
"MGL","R_45","RSn 45","Long Name 45","3"
"MGL","R_46","RSn 46","Long Name 46","3"
"MGL","R_47","RSn 47","Long Name 47","3"
"MGL","R_48","RSn 48","Long Name 48","3"
"MGL","R_49","RSn 49","Long Name 49","3"
"MGL","R_50","RSn 50","Long Name 50","3"
"MGL","R_51","RSn 51","Long Name 51","3"
"MGL","R_52","RSn 52","Long Name 52","3"
"MGL","R_53","RSn 53","Long Name 53","3"
"MGL","R_54","RSn 54","Long Name 54","3"
"MGL","R_55","RSn 55","Long Name 55","3"
"MGL","R_56","RSn 56","Long Name 56","3"
"MGL","R_57","RSn 57","Long Name 57","3"
"MGL","R_58","RSn 58","Long Name 58","3"
"MGL","R_59","RSn 59","Long Name 59","3"
"MGL","R_60","RSn 60","Long Name 60","3"
"MGL","R_61","RSn 61","Long Name 61","3"
"MGL","R_62","RSn 62","Long Name 62","3"
"MGL","R_63","RSn 63","Long Name 63","3"
"MGL","R_64","RSn 64","Long Name 64","3"
"MGL","R_65","RSn 65","Long Name 65","3"
"MGL","R_66","RSn 66","Long Name 66","3"
"MGL","R_67","RSn 67","Long Name 67","3"
"MGL","R_68","RSn 68","Long Name 68","3"
"MGL","R_69","RSn 69","Long Name 69","3"
"MGL","R_70","RSn 70","Long Name 70","3"
"MGL","R_71","RSn 71","Long Name 71","3"
"MGL","R_72","RSn 72","Long Name 72","3"
"MGL","R_73","RSn 73","Long Name 73","3"
"MGL","R_74","RSn 74","Long Name 74","3"
"MGL","R_75","RSn 75","Long Name 75","3"
"MGL","R_76","RSn 76","Long Name 76","3"
"MGL","R_77","RSn 77","Long Name 77","3"
"MGL","R_78","RSn 78","Long Name 78","3"
"MGL","R_79","RSn 79","Long Name 79","3"
"MGL","R_80","RSn 80","Long Name 80","3"
"MGL","R_81","RSn 81","Long Name 81","3"
"MGL","R_82","RSn 82","Long Name 82","3"
"MGL","R_83","RSn 83","Long Name 83","3"
"MGL","R_84","RSn 84","Long Name 84","3"
"MGL","R_85","RSn 85","Long Name 85","3"
"MGL","R_86","RSn 86","Long Name 86","3"
"MGL","R_87","RSn 87","Long Name 87","3"
"MGL","R_88","RSn 88","Long Name 88","3"
"MGL","R_89","RSn 89","Long Name 89","3"
"MGL","R_90","RSn 90","Long Name 90","3"
"MGL","R_91","RSn 91","Long Name 91","3"
"MGL","R_92","RSn 92","Long Name 92","3"
"MGL","R_93","RSn 93","Long Name 93","3"
"MGL","R_94","RSn 94","Long Name 94","3"
"MGL","R_95","RSn 95","Long Name 95","3"
"MGL","R_96","RSn 96","Long Name 96","3"
"MGL","R_97","RSn 97","Long Name 97","3"
"MGL","R_98","RSn 98","Long Name 98","3"
"MGL","R_99","RSn 99","Long Name 99","3"
"MGL","R_100","RSn 100","Long Name 100","3"
"MGL","R_101","RSn 101","Long Name 101","3"
"MGL","R_102","RSn 102","Long Name 102","3"
"MGL","R_103","RSn 103","Long Name 103","3"
"MGL","R_104","RSn 104","Long Name 104","3"
"MGL","R_105","RSn 105","Long Name 105","3"
"MGL","R_106","RSn 106","Long Name 106","3"
"MGL","R_107","RSn 107","Long Name 107","3"
"MGL","R_108","RSn 108","Long Name 108","3"
"MGL","R_109","RSn 109","Long Name 109","3"
"MGL","R_110","RSn 110","Long Name 110","3"
"MGL","R_111","RSn 111","Long Name 111","3"
"MGL","R_112","RSn 112","Long Name 112","3"
"MGL","R_113","RSn 113","Long Name 113","3"
"MGL","R_114","RSn 114","Long Name 114","3"
"MGL","R_115","RSn 115","Long Name 115","3"
"MGL","R_116","RSn 116","Long Name 116","3"
"MGL","R_117","RSn 117","Long Name 117","3"
"MGL","R_118","RSn 118","Long Name 118","3"
"MGL","R_119","RSn 119","Long Name 119","3"
"MGL","R_120","RSn 120","Long Name 120","3"
"MGL","R_121","RSn 121","Long Name 121","3"
"MGL","R_122","RSn 122","Long Name 122","3"
"MGL","R_123","RSn 123","Long Name 123","3"
"MGL","R_124","RSn 124","Long Name 124","3"
"MGL","R_125","RSn 125","Long Name 125","3"
"MGL","R_126","RSn 126","Long Name 126","3"
"MGL","R_127","RSn 127","Long Name 127","3"
"MGL","R_128","RSn 128","Long Name 128","3"
"MGL","R_129","RSn 129","Long Name 129","3"
"MGL","R_130","RSn 130","Long Name 130","3"
"MGL","R_131","RSn 131","Long Name 131","3"
"MGL","R_132","RSn 132","Long Name 132","3"
"MGL","R_133","RSn 133","Long Name 133","3"
"MGL","R_134","RSn 134","Long Name 134","3"
"MGL","R_135","RSn 135","Long Name 135","3"
"MGL","R_136","RSn 136","Long Name 136","3"
"MGL","R_137","RSn 137","Long Name 137","3"
"MGL","R_138","RSn 138","Long Name 138","3"
"MGL","R_139","RSn 139","Long Name 139","3"
"MGL","R_140","RSn 140","Long Name 140","3"
"MGL","R_141","RSn 141","Long Name 141","3"
"MGL","R_142","RSn 142","Long Name 142","3"
"MGL","R_143","RSn 143","Long Name 143","3"
"MGL","R_144","RSn 144","Long Name 144","3"
"MGL","R_145","RSn 145","Long Name 145","3"
"MGL","R_146","RSn 146","Long Name 146","3"
"MGL","R_147","RSn 147","Long Name 147","3"
"MGL","R_148","RSn 148","Long Name 148","3"
"MGL","R_149","RSn 149","Long Name 149","3"
"MGL","R_150","RSn 150","Long Name 150","3"
"MGL","R_151","RSn 151","Long Name 151","3"
"MGL","R_152","RSn 152","Long Name 152","3"
"MGL","R_153","RSn 153","Long Name 153","3"
"MGL","R_154","RSn 154","Long Name 154","3"
"MGL","R_155","RSn 155","Long Name 155","3"
"MGL","R_156","RSn 156","Long Name 156","3"
"MGL","R_157","RSn 157","Long Name 157","3"
"MGL","R_158","RSn 158","Long Name 158","3"
"MGL","R_159","RSn 159","Long Name 159","3"
"MGL","R_160","RSn 160","Long Name 160","3"
"MGL","R_161","RSn 161","Long Name 161","3"
"MGL","R_162","RSn 162","Long Name 162","3"
"MGL","R_163","RSn 163","Long Name 163","3"
"MGL","R_164","RSn 164","Long Name 164","3"
"MGL","R_165","RSn 165","Long Name 165","3"
"MGL","R_166","RSn 166","Long Name 166","3"
"MGL","R_167","RSn 167","Long Name 167","3"
"MGL","R_168","RSn 168","Long Name 168","3"
"MGL","R_169","RSn 169","Long Name 169","3"
"MGL","R_170","RSn 170","Long Name 170","3"
"MGL","R_171","RSn 171","Long Name 171","3"
"MGL","R_172","RSn 172","Long Name 172","3"
"MGL","R_173","RSn 173","Long Name 173","3"
"MGL","R_174","RSn 174","Long Name 174","3"
"MGL","R_175","RSn 175","Long Name 175","3"
"MGL","R_176","RSn 176","Long Name 176","3"
"MGL","R_177","RSn 177","Long Name 177","3"
"MGL","R_178","RSn 178","Long Name 178","3"
"MGL","R_179","RSn 179","Long Name 179","3"
"MGL","R_180","RSn 180","Long Name 180","3"
"MGL","R_181","RSn 181","Long Name 181","3"
"MGL","R_182","RSn 182","Long Name 182","3"
"MGL","R_183","RSn 183","Long Name 183","3"
"MGL","R_184","RSn 184","Long Name 184","3"
"MGL","R_185","RSn 185","Long Name 185","3"
"MGL","R_186","RSn 186","Long Name 186","3"
"MGL","R_187","RSn 187","Long Name 187","3"
"MGL","R_188","RSn 188","Long Name 188","3"
"MGL","R_189","RSn 189","Long Name 189","3"
"MGL","R_190","RSn 190","Long Name 190","3"
"MGL","R_191","RSn 191","Long Name 191","3"
"MGL","R_192","RSn 192","Long Name 192","3"
"MGL","R_193","RSn 193","Long Name 193","3"
"MGL","R_194","RSn 194","Long Name 194","3"
"MGL","R_195","RSn 195","Long Name 195","3"
"MGL","R_196","RSn 196","Long Name 196","3"
"MGL","R_197","RSn 197","Long Name 197","3"
"MGL","R_198","RSn 198","Long Name 198","3"
"MGL","R_199","RSn 199","Long Name 199","3"
"MGL","R_200","RSn 200","Long Name 200","3"
"MGL","R_201","RSn 201","Long Name 201","3"
"MGL","R_202","RSn 202","Long Name 202","3"
"MGL","R_203","RSn 203","Long Name 203","3"
"MGL","R_204","RSn 204","Long Name 204","3"
"MGL","R_205","RSn 205","Long Name 205","3"
"MGL","R_206","RSn 206","Long Name 206","3"
"MGL","R_207","RSn 207","Long Name 207","3"
"MGL","R_208","RSn 208","Long Name 208","3"
"MGL","R_209","RSn 209","Long Name 209","3"
"MGL","R_210","RSn 210","Long Name 210","3"
"MGL","R_211","RSn 211","Long Name 211","3"
"MGL","R_212","RSn 212","Long Name 212","3"
"MGL","R_213","RSn 213","Long Name 213","3"
"MGL","R_214","RSn 214","Long Name 214","3"
"MGL","R_215","RSn 215","Long Name 215","3"
"MGL","R_216","RSn 216","Long Name 216","3"
"MGL","R_217","RSn 217","Long Name 217","3"
"MGL","R_218","RSn 218","Long Name 218","3"
"MGL","R_219","RSn 219","Long Name 219","3"
"MGL","R_220","RSn 220","Long Name 220","3"
"MGL","R_221","RSn 221","Long Name 221","3"
"MGL","R_222","RSn 222","Long Name 222","3"
"MGL","R_223","RSn 223","Long Name 223","3"
"MGL","R_224","RSn 224","Long Name 224","3"
"MGL","R_225","RSn 225","Long Name 225","3"
"MGL","R_226","RSn 226","Long Name 226","3"
"MGL","R_227","RSn 227","Long Name 227","3"
"MGL","R_228","RSn 228","Long Name 228","3"
