stop_id,trip_id,timepoint,stop_sequence,arrival_time,departure_time
27.426153.15202304030528350,T_1,1,1,05:28:35,05:28:35
27.47153.02420230403064639184,T_1,1,2,06:46:39,06:46:39
27.469153.025202304030729440,T_2,1,1,07:29:44,07:29:44
27.485153.042023040308035059,T_2,1,2,08:03:50,08:03:50
27.485153.04202304030807300,T_3,1,1,08:07:30,08:07:30
27.5153.0362023040308133523,T_3,1,2,08:13:35,08:13:35
27.487153.035202304030848430,T_4,1,1,08:48:43,08:48:43
27.441153.12820230403091805112,T_4,1,2,09:18:05,09:18:05
27.441153.128202304030929330,T_5,1,1,09:29:33,09:29:33
27.435153.1742023040309400242,T_5,1,2,09:40:02,09:40:02
27.436153.173202304031018070,T_6,1,1,10:18:07,10:18:07
27.426153.152023040310264733,T_6,1,2,10:26:47,10:26:47
27.426153.15202304031051300,T_7,1,1,10:51:30,10:51:30
27.483153.03620230403112257140,T_7,1,2,11:22:57,11:22:57
27.483153.036202304031156470,T_8,1,1,11:56:47,11:56:47
27.456153.0342023040312070528,T_8,1,2,12:07:05,12:07:05
27.456153.034202304031231430,T_9,1,1,12:31:43,12:31:43
27.472153.0262023040312451134,T_9,1,2,12:45:11,12:45:11
27.472153.026202304031245110,T_10,1,1,12:45:11,12:45:11
27.426153.1520230403134153152,T_10,1,2,13:41:53,13:41:53
27.426153.15202304040530450,T_11,1,1,05:30:45,05:30:45
27.469153.02520230404061019166,T_11,1,2,06:10:19,06:10:19
27.47153.025202304040644440,T_12,1,1,06:44:44,06:44:44
27.479153.0232023040406572228,T_12,1,2,06:57:22,06:57:22
27.479153.023202304040718490,T_13,1,1,07:18:49,07:18:49
27.456153.0332023040407325839,T_13,1,2,07:32:58,07:32:58
27.456153.033202304040740400,T_14,1,1,07:40:40,07:40:40
27.46153.11420230404081239116,T_14,1,2,08:12:39,08:12:39
27.46153.114202304040818570,T_15,1,1,08:18:57,08:18:57
27.426153.1520230404084848111,T_15,1,2,08:48:48,08:48:48
