"stop_id","stop_name","stop_lat","stop_lon"
"27.426153.15202304030528350","Stop 0","-27.42608","153.14995"
"27.47153.02420230403064639184","Stop 184","-27.4695","153.02447"
"27.469153.025202304030729440","Stop 0","-27.46943","153.02455"
"27.485153.042023040308035059","Stop 59","-27.48493","153.0399"
"27.485153.04202304030807300","Stop 0","-27.48493","153.0399"
"27.5153.0362023040308133523","Stop 23","-27.50033","153.03588"
"27.487153.035202304030848430","Stop 0","-27.48682","153.03507"
"27.441153.12820230403091805112","Stop 112","-27.4406","153.12762"
"27.441153.128202304030929330","Stop 0","-27.4406","153.12762"
"27.435153.1742023040309400242","Stop 42","-27.43532","153.17405"
"27.436153.173202304031018070","Stop 0","-27.43557","153.17342"
"27.426153.152023040310264733","Stop 33","-27.42558","153.1503"
"27.426153.15202304031051300","Stop 0","-27.42598","153.1501"
"27.483153.03620230403112257140","Stop 140","-27.48253","153.03635"
"27.483153.036202304031156470","Stop 0","-27.48253","153.03635"
"27.456153.0342023040312070528","Stop 28","-27.45598","153.0335"
"27.456153.034202304031231430","Stop 0","-27.45598","153.0335"
"27.472153.0262023040312451134","Stop 34","-27.4716","153.02597"
"27.472153.026202304031245110","Stop 0","-27.4716","153.02597"
"27.426153.1520230403134153152","Stop 152","-27.42558","153.15027"
"27.426153.15202304040530450","Stop 0","-27.426","153.15007"
"27.469153.02520230404061019166","Stop 166","-27.46933","153.02477"
"27.47153.025202304040644440","Stop 0","-27.4696","153.0247"
"27.479153.0232023040406572228","Stop 28","-27.47902","153.02313"
"27.479153.023202304040718490","Stop 0","-27.47902","153.02313"
"27.456153.0332023040407325839","Stop 39","-27.45612","153.0334"
"27.456153.033202304040740400","Stop 0","-27.45612","153.0334"
"27.46153.11420230404081239116","Stop 116","-27.46035","153.11407"
"27.46153.114202304040818570","Stop 0","-27.46035","153.11407"
"27.426153.1520230404084848111","Stop 111","-27.42558","153.15028"
"27.426153.15202304040954020","Stop 0","-27.42592","153.15003"
"27.591153.03320230404103503205","Stop 205","-27.59068","153.03342"
"27.591153.033202304041047080","Stop 0","-27.59122","153.0334"
