trip_id,route_id,service_id,shape_id,trip_short_name,direction_id,block_id
T_1,R_1,S1,Sh_1,Short Name 1,1,B1
T_2,R_2,S1,Sh_2,Short Name 2,1,B1
T_3,R_3,S1,Sh_3,Short Name 3,1,B1
T_4,R_4,S1,Sh_4,Short Name 4,1,B1
T_5,R_5,S1,Sh_5,Short Name 5,1,B1
T_6,R_6,S1,Sh_6,Short Name 6,1,B1
T_7,R_7,S1,Sh_7,Short Name 7,1,B1
T_8,R_8,S1,Sh_8,Short Name 8,1,B1
T_9,R_9,S1,Sh_9,Short Name 9,1,B1
T_10,R_10,S1,Sh_10,Short Name 10,1,B1
T_11,R_11,S1,Sh_11,Short Name 11,1,B2
T_12,R_12,S1,Sh_12,Short Name 12,1,B2
T_13,R_13,S1,Sh_13,Short Name 13,1,B2
T_14,R_14,S1,Sh_14,Short Name 14,1,B2
T_15,R_15,S1,Sh_15,Short Name 15,1,B2
T_16,R_16,S1,Sh_16,Short Name 16,1,B2
T_17,R_17,S1,Sh_17,Short Name 17,1,B2
T_18,R_18,S1,Sh_18,Short Name 18,1,B2
T_19,R_19,S1,Sh_19,Short Name 19,1,B2
T_20,R_20,S1,Sh_20,Short Name 20,1,B2
T_21,R_21,S1,Sh_21,Short Name 21,1,B2
T_22,R_22,S1,Sh_22,Short Name 22,1,B2
T_23,R_23,S1,Sh_23,Short Name 23,1,B3
T_24,R_24,S1,Sh_24,Short Name 24,1,B3
T_25,R_25,S1,Sh_25,Short Name 25,1,B3
T_26,R_26,S1,Sh_26,Short Name 26,1,B3
T_27,R_27,S1,Sh_27,Short Name 27,1,B3
T_28,R_28,S1,Sh_28,Short Name 28,1,B3
T_29,R_29,S1,Sh_29,Short Name 29,1,B3
T_30,R_30,S1,Sh_30,Short Name 30,1,B3
T_31,R_31,S1,Sh_31,Short Name 31,1,B3
T_32,R_32,S1,Sh_32,Short Name 32,1,B3
T_33,R_33,S1,Sh_33,Short Name 33,1,B3
T_34,R_34,S1,Sh_34,Short Name 34,1,B3
T_35,R_35,S1,Sh_35,Short Name 35,1,B3
T_36,R_36,S1,Sh_36,Short Name 36,1,B3
