service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
346626U,0,0,0,0,1,0,0,20230317,20230609
346630U,1,0,0,0,0,0,0,20230313,20230605
346634U,0,1,1,1,1,0,0,20230314,20230609
346643U,1,1,1,1,1,0,0,20230313,20230609
346662U,1,1,1,1,1,0,0,20230313,20230609
346666U,1,1,1,1,1,0,0,20230313,20230609
346676U,1,1,1,1,0,0,0,20230313,20230608
401024U,0,0,0,0,0,1,0,20230318,20230610
462524U,1,0,0,0,0,0,1,20230326,20230528
462531U,1,0,0,0,0,0,1,20230326,20230528
462600U,1,0,0,0,0,0,1,20230326,20230528
462670U,0,0,0,0,0,1,0,20230325,20230527
462673U,0,0,0,0,0,1,0,20230325,20230527
462674U,0,0,0,0,0,1,0,20230325,20230527
462678U,0,0,0,0,0,1,0,20230325,20230527
462752U,1,0,0,0,0,0,1,20230326,20230528
462877U,0,0,0,0,0,1,0,20230325,20230527
462880U,0,0,0,0,0,1,0,20230325,20230527
462959U,1,0,0,0,0,0,1,20230326,20230528
462961U,1,0,0,0,0,0,1,20230326,20230528
462966U,1,0,0,0,0,0,1,20230326,20230528
462970U,1,0,0,0,0,0,1,20230326,20230528
463108U,0,0,0,0,0,1,0,20230325,20230527
463114U,0,0,0,0,0,1,0,20230325,20230527
463175U,0,0,0,0,0,1,0,20230325,20230527
463310U,0,0,0,0,0,1,0,20230325,20230527
463316U,0,0,0,0,0,1,0,20230325,20230527
463322U,0,0,0,0,0,1,0,20230325,20230527
463397U,1,0,0,0,0,0,1,20230326,20230528
463398U,1,0,0,0,0,0,1,20230326,20230528
463400U,1,0,0,0,0,0,1,20230326,20230528
463402U,1,0,0,0,0,0,1,20230326,20230528
463404U,1,0,0,0,0,0,1,20230326,20230528
463526U,0,0,0,0,0,1,0,20230325,20230527
463535U,0,0,0,0,0,1,0,20230325,20230527
463611U,1,0,0,0,0,0,1,20230326,20230528
463734U,0,0,0,0,0,1,0,20230325,20230527
463736U,0,0,0,0,0,1,0,20230325,20230527
463740U,0,0,0,0,0,1,0,20230325,20230527
463819U,1,0,0,0,0,0,1,20230326,20230528
463962U,0,0,0,0,0,1,0,20230325,20230527
463965U,0,0,0,0,0,1,0,20230325,20230527
463968U,0,0,0,0,0,1,0,20230325,20230527
464007U,0,1,0,0,0,0,0,20230314,20230530
464049U,1,0,0,0,0,0,1,20230326,20230528
464051U,1,0,0,0,0,0,1,20230326,20230528
464052U,1,0,0,0,0,0,1,20230326,20230528
464190U,0,0,0,0,0,1,0,20230325,20230527
464554U,1,0,1,1,1,0,0,20230313,20230531
464608U,1,1,1,1,1,0,0,20230313,20230531
464643U,1,1,1,1,1,0,0,20230313,20230531
464647U,1,1,1,1,1,0,0,20230313,20230531
464649U,1,1,1,1,1,0,0,20230313,20230531
464666U,1,1,1,1,1,0,0,20230313,20230531
464668U,1,1,1,1,1,0,0,20230313,20230531
