origin_id,destination_id,fare_id
ALVA,ATTK,F2
ALVA,CCUV,F3
ALVA,CGPP,F4
ALVA,CPPY,F2
ALVA,EDAP,F4
ALVA,EMKM,F6
ALVA,ERSH,F5
ALVA,JLSD,F4
ALVA,KALR,F5
ALVA,KLMT,F3
ALVA,KVTR,F5
ALVA,TNHL,F5
ALVA,MACE,F5
ALVA,MGRD,F5
ALVA,MUTT,F2
ALVA,PARV,F4
ALVA,PDPM,F3
ALVA,PNCU,F1
ALVA,TKDM,F6
ALVA,VYTA,F6
ATTK,ALVA,F2
ATTK,CCUV,F2
ATTK,CGPP,F3
ATTK,CPPY,F1
ATTK,EDAP,F3
ATTK,EMKM,F5
ATTK,ERSH,F4
ATTK,JLSD,F4
ATTK,KALR,F4
ATTK,KLMT,F2
ATTK,KVTR,F5
ATTK,TNHL,F4
ATTK,MACE,F5
ATTK,MGRD,F4
ATTK,MUTT,F1
ATTK,PARV,F3
ATTK,PDPM,F2
ATTK,PNCU,F2
ATTK,TKDM,F5
ATTK,VYTA,F5
CCUV,ALVA,F3
CCUV,ATTK,F2
CCUV,CGPP,F2
CCUV,CPPY,F2
CCUV,EDAP,F2
CCUV,EMKM,F4
CCUV,ERSH,F4
CCUV,JLSD,F3
CCUV,KALR,F3
CCUV,KLMT,F1
CCUV,KVTR,F4
CCUV,TNHL,F3
CCUV,MACE,F4
CCUV,MGRD,F4
CCUV,MUTT,F2
CCUV,PARV,F2
CCUV,PDPM,F1
CCUV,PNCU,F3
CCUV,TKDM,F5
CCUV,VYTA,F5
CGPP,ALVA,F4
CGPP,ATTK,F3
CGPP,CCUV,F2
CGPP,CPPY,F3
CGPP,EDAP,F1
CGPP,EMKM,F4
CGPP,ERSH,F3
CGPP,JLSD,F2
CGPP,KALR,F2
CGPP,KLMT,F2
CGPP,KVTR,F4
CGPP,TNHL,F2
CGPP,MACE,F3
CGPP,MGRD,F3
CGPP,MUTT,F3
CGPP,PARV,F1
CGPP,PDPM,F2
CGPP,PNCU,F4
CGPP,TKDM,F4
CGPP,VYTA,F4
CPPY,ALVA,F2
CPPY,ATTK,F1
CPPY,CCUV,F2
CPPY,CGPP,F3
CPPY,EDAP,F3
CPPY,EMKM,F5
CPPY,ERSH,F5
CPPY,JLSD,F4
CPPY,KALR,F4
CPPY,KLMT,F2
CPPY,KVTR,F5
CPPY,TNHL,F4
CPPY,MACE,F5
CPPY,MGRD,F5
CPPY,MUTT,F2
CPPY,PARV,F4
CPPY,PDPM,F3
CPPY,PNCU,F1
CPPY,TKDM,F6
CPPY,VYTA,F5
EDAP,ALVA,F4
EDAP,ATTK,F3
EDAP,CCUV,F2
EDAP,CGPP,F1
EDAP,CPPY,F3
EDAP,EMKM,F4
EDAP,ERSH,F3
EDAP,JLSD,F2
EDAP,KALR,F2
EDAP,KLMT,F2
EDAP,KVTR,F4
EDAP,TNHL,F3
EDAP,MACE,F3
EDAP,MGRD,F3
EDAP,MUTT,F2
EDAP,PARV,F2
EDAP,PDPM,F1
EDAP,PNCU,F3
EDAP,TKDM,F4
EDAP,VYTA,F4
EMKM,ALVA,F6
EMKM,ATTK,F5
EMKM,CCUV,F4
EMKM,CGPP,F3
EMKM,CPPY,F5
EMKM,EDAP,F4
EMKM,ERSH,F2
EMKM,JLSD,F3
EMKM,KALR,F3
EMKM,KLMT,F4
EMKM,KVTR,F1
EMKM,TNHL,F3
EMKM,MACE,F2
EMKM,MGRD,F2
EMKM,MUTT,F5
EMKM,PARV,F3
EMKM,PDPM,F4
EMKM,PNCU,F5
EMKM,TKDM,F1
EMKM,VYTA,F1
ERSH,ALVA,F5
ERSH,ATTK,F5
ERSH,CCUV,F4
ERSH,CGPP,F3
ERSH,CPPY,F5
ERSH,EDAP,F3
ERSH,EMKM,F2
ERSH,JLSD,F2
ERSH,KALR,F2
ERSH,KLMT,F4
ERSH,KVTR,F2
ERSH,TNHL,F2
ERSH,MACE,F1
ERSH,MGRD,F2
ERSH,MUTT,F4
ERSH,PARV,F3
ERSH,PDPM,F3
ERSH,PNCU,F5
ERSH,TKDM,F2
ERSH,VYTA,F2
JLSD,ALVA,F4
JLSD,ATTK,F4
JLSD,CCUV,F3
JLSD,CGPP,F2
JLSD,CPPY,F4
JLSD,EDAP,F2
JLSD,EMKM,F3
JLSD,ERSH,F3
JLSD,KALR,F1
JLSD,KLMT,F3
JLSD,KVTR,F3
JLSD,TNHL,F2
JLSD,MACE,F2
JLSD,MGRD,F2
JLSD,MUTT,F3
JLSD,PARV,F1
JLSD,PDPM,F2
JLSD,PNCU,F4
JLSD,TKDM,F4
JLSD,VYTA,F4
KALR,ALVA,F5
KALR,ATTK,F4
KALR,CCUV,F3
KALR,CGPP,F2
KALR,CPPY,F4
KALR,EDAP,F2
KALR,EMKM,F3
KALR,ERSH,F3
KALR,JLSD,F1
KALR,KLMT,F3
KALR,KVTR,F3
KALR,TNHL,F1
KALR,MACE,F2
KALR,MGRD,F2
KALR,MUTT,F4
KALR,PARV,F2
KALR,PDPM,F3
KALR,PNCU,F4
KALR,TKDM,F4
KALR,VYTA,F3
KLMT,ALVA,F3
KLMT,ATTK,F2
KLMT,CCUV,F1
KLMT,CGPP,F2
KLMT,CPPY,F2
KLMT,EDAP,F2
KLMT,EMKM,F5
KLMT,ERSH,F4
KLMT,JLSD,F3
KLMT,KALR,F3
KLMT,KVTR,F4
KLMT,TNHL,F4
KLMT,MACE,F4
KLMT,MGRD,F4
KLMT,MUTT,F1
KLMT,PARV,F3
KLMT,PDPM,F2
KLMT,PNCU,F2
KLMT,TKDM,F5
KLMT,VYTA,F5
KVTR,ALVA,F5
KVTR,ATTK,F5
KVTR,CCUV,F4
KVTR,CGPP,F3
KVTR,CPPY,F5
KVTR,EDAP,F3
KVTR,EMKM,F1
KVTR,ERSH,F1
KVTR,JLSD,F3
KVTR,KALR,F2
KVTR,KLMT,F4
KVTR,TNHL,F2
KVTR,MACE,F2
KVTR,MGRD,F2
KVTR,MUTT,F5
KVTR,PARV,F3
KVTR,PDPM,F4
KVTR,PNCU,F5
KVTR,TKDM,F2
KVTR,VYTA,F1
TNHL,ALVA,F5
TNHL,ATTK,F4
TNHL,CCUV,F3
TNHL,CGPP,F2
TNHL,CPPY,F4
TNHL,EDAP,F3
TNHL,EMKM,F3
TNHL,ERSH,F2
TNHL,JLSD,F2
TNHL,KALR,F1
TNHL,KLMT,F4
TNHL,KVTR,F3
TNHL,MACE,F2
TNHL,MGRD,F1
TNHL,MUTT,F4
TNHL,PARV,F2
TNHL,PDPM,F3
TNHL,PNCU,F5
TNHL,TKDM,F3
TNHL,VYTA,F3
MACE,ALVA,F5
MACE,ATTK,F5
MACE,CCUV,F4
MACE,CGPP,F3
MACE,CPPY,F5
MACE,EDAP,F3
MACE,EMKM,F2
MACE,ERSH,F1
MACE,JLSD,F2
MACE,KALR,F2
MACE,KLMT,F4
MACE,KVTR,F2
MACE,TNHL,F2
MACE,MGRD,F1
MACE,MUTT,F4
MACE,PARV,F3
MACE,PDPM,F4
MACE,PNCU,F5
MACE,TKDM,F3
MACE,VYTA,F3
MGRD,ALVA,F5
MGRD,ATTK,F4
MGRD,CCUV,F4
MGRD,CGPP,F3
MGRD,CPPY,F5
MGRD,EDAP,F3
MGRD,EMKM,F2
MGRD,ERSH,F2
MGRD,JLSD,F2
MGRD,KALR,F2
MGRD,KLMT,F4
MGRD,KVTR,F2
MGRD,TNHL,F1
MGRD,MACE,F1
MGRD,MUTT,F4
MGRD,PARV,F2
MGRD,PDPM,F3
MGRD,PNCU,F5
MGRD,TKDM,F3
MGRD,VYTA,F3
MUTT,ALVA,F2
MUTT,ATTK,F1
MUTT,CCUV,F2
MUTT,CGPP,F3
MUTT,CPPY,F2
MUTT,EDAP,F2
MUTT,EMKM,F5
MUTT,ERSH,F4
MUTT,JLSD,F3
MUTT,KALR,F4
MUTT,KLMT,F1
MUTT,KVTR,F5
MUTT,TNHL,F4
MUTT,MACE,F4
MUTT,MGRD,F4
MUTT,PARV,F3
MUTT,PDPM,F2
MUTT,PNCU,F2
MUTT,TKDM,F5
MUTT,VYTA,F5
PARV,ALVA,F4
PARV,ATTK,F3
PARV,CCUV,F2
PARV,CGPP,F1
PARV,CPPY,F4
PARV,EDAP,F2
PARV,EMKM,F4
PARV,ERSH,F3
PARV,JLSD,F1
PARV,KALR,F2
PARV,KLMT,F3
PARV,KVTR,F3
PARV,TNHL,F2
PARV,MACE,F3
PARV,MGRD,F2
PARV,MUTT,F3
PARV,PDPM,F2
PARV,PNCU,F4
PARV,TKDM,F4
PARV,VYTA,F4
PDPM,ALVA,F3
PDPM,ATTK,F2
PDPM,CCUV,F1
PDPM,CGPP,F2
PDPM,CPPY,F3
PDPM,EDAP,F1
PDPM,EMKM,F4
PDPM,ERSH,F4
PDPM,JLSD,F2
PDPM,KALR,F3
PDPM,KLMT,F2
PDPM,KVTR,F4
PDPM,TNHL,F3
PDPM,MACE,F4
PDPM,MGRD,F3
PDPM,MUTT,F2
PDPM,PARV,F2
PDPM,PNCU,F3
PDPM,TKDM,F5
PDPM,VYTA,F4
PNCU,ALVA,F1
PNCU,ATTK,F2
PNCU,CCUV,F3
PNCU,CGPP,F4
PNCU,CPPY,F1
PNCU,EDAP,F3
PNCU,EMKM,F5
PNCU,ERSH,F5
PNCU,JLSD,F4
PNCU,KALR,F4
PNCU,KLMT,F2
PNCU,KVTR,F5
PNCU,TNHL,F5
PNCU,MACE,F5
PNCU,MGRD,F5
PNCU,MUTT,F2
PNCU,PARV,F4
PNCU,PDPM,F3
PNCU,TKDM,F6
PNCU,VYTA,F6
TKDM,ALVA,F6
