block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
2,0,R1,WK,R001_0,Thaikoodam,R1WKR055930,05:59 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL064325,06:43 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR072945,07:29 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL081042,08:10 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR085255,08:52 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL093700,09:37 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR102027,10:20 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL110430,11:04 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR114608,11:46 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL123025,12:30 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR131357,13:13 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL135810,13:58 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR144144,14:41 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL152555,15:25 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR160840,16:08 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL165245,16:52 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR173611,17:36 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL182015,18:20 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR190341,19:03 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL194745,19:47 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR203143,20:31 Thaikoodam,1
2,1,R1,WK,R001_1,Aluva,R1WKL211545,21:15 Aluva,1
2,0,R1,WK,R001_0,Thaikoodam,R1WKR215727,21:57 Thaikoodam,1
1,1,R1,WK,R001_1,Aluva,R1WKL055940,05:59 Aluva,1
